neighborhood,price,bedrooms,bathrooms,house size,description,neighborhood description
Willow Creek,500000,4,3,2500,"This charming colonial-style home features a wrap-around porch, hardwood floors, and a cozy fireplace. The backyard includes a deck and lush landscaping.","Willow Creek is a family-friendly neighborhood with top-rated schools, parks, and a variety of dining options nearby."
Sunset Hills,750000,5,4,3500,"This contemporary home offers an open floor plan, high-end finishes, and a chef's kitchen with quartz countertops. The backyard boasts a pool, spa, and outdoor living space.","Sunset Hills is known for its luxury homes and scenic views. Residents enjoy easy access to hiking trails, shopping centers, and fine dining restaurants."
Maple Grove,400000,3,2,2000,"This newly renovated ranch-style home features a spacious living room, updated kitchen, and a master suite with a walk-in closet. The backyard includes a patio and mature trees for privacy.","Maple Grove is a quiet neighborhood with tree-lined streets and friendly neighbors. It is conveniently located near schools, parks, and shopping centers."
River Oaks,1000000,6,5,4500,"This elegant Mediterranean villa offers a grand foyer, marble floors, and a gourmet kitchen with custom cabinetry. The backyard features a pool, spa, and outdoor fireplace.","River Oaks is an upscale neighborhood known for its luxury estates and exclusive country club. Residents enjoy a high standard of living and easy access to top-rated schools and fine dining restaurants."
Pinecrest Heights,600000,4,3,2800,"This traditional two-story home boasts a formal dining room, hardwood floors, and a sunroom overlooking the backyard. The outdoor space includes a patio and garden area.","Pinecrest Heights is a well-established neighborhood with mature trees and quiet streets. It is close to parks, schools, and shopping centers, making it ideal for families."
Oakwood Park,450000,3,2,2200,"This cozy bungalow features a brick fireplace, built-in bookshelves, and a renovated kitchen with stainless steel appliances. The backyard offers a deck and fenced yard.","Oakwood Park is a historic neighborhood with charming homes and a strong sense of community. Residents enjoy easy access to local shops, restaurants, and public transportation."
Cedar Ridge,800000,5,4,3200,"This modern farmhouse boasts an open concept layout, shiplap walls, and a chef's kitchen with a large island. The backyard includes a covered patio and fire pit.","Cedar Ridge is a trendy neighborhood with a mix of new construction and historic homes. It is close to trendy boutiques, cafes, and art galleries, making it popular among young professionals."
Lakeview Terrace,700000,4,3,3000,"This waterfront property offers panoramic lake views, a private dock, and a screened-in porch for outdoor dining. The interior features a stone fireplace, vaulted ceilings, and a gourmet kitchen.","Lakeview Terrace is a sought-after neighborhood for water enthusiasts and nature lovers. Residents enjoy boating, fishing, and hiking trails in the nearby park, as well as a strong sense of community."
Hillcrest Heights,550000,4,3,2600,"This mid-century modern home features an open floor plan, vaulted ceilings, and a wall of windows overlooking the backyard. The outdoor space includes a deck and mature landscaping.","Hillcrest Heights is a quiet neighborhood with tree-lined streets and friendly neighbors. It is close to schools, parks, and shopping centers, making it ideal for families."
Meadowbrook Estates,900000,5,4,3800,"This custom-built estate offers luxury finishes, a grand staircase, and a gourmet kitchen with top-of-the-line appliances. The backyard features a pool, spa, and outdoor kitchen.","Meadowbrook Estates is an exclusive neighborhood with large estate homes and private gated entrances. Residents enjoy a high standard of living and easy access to top-rated schools and country clubs."
